HE 260 M;290;268;18;32.5;24;;;;;;219.6;172;31310;2159;2524;11.94;66.89;10450;779.7;1192;6.9;111.1;719;1.728;
HE 280 AA;264;280;7;10;24;;;;;;78.02;61.2;10560;799.8;873.1;11.63;27.52;3664;261.7;399.4;6.85;55.12;36.22;0.5901;
HE 280 A;270;280;8;13;24;;;;;;97.26;76.4;13670;1013;1112;11.86;31.74;4763;340.2;518.1;7;62.12;62.1;0.7854;
HE 280 B;280;280;10.5;18;24;;;;;;131.4;103;19270;1376;1534;12.11;41.09;6595;471;717.6;7.09;74.62;143.7;1.13;
HE 280 M;310;288;18.5;33;24;;;;;;240.2;189;39550;2551;2966;12.83;72.03;13160;914.1;1397;7.4;112.6;807.3;2.52;
HE 300 AA;283;300;7.5;10.5;27;;;;;;88.91;69.8;13800;975.6;1065;12.46;32.37;4734;315.6;482.3;7.3;60.13;49.35;0.8772;
HE 300 A;290;300;8.5;14;27;;;;;;112.5;88.3;18260;1260;1383;12.74;37.28;6310;420.6;641.2;7.49;68.13;85.17;1.2;
HE 300 B;300;300;11;19;27;;;;;;149.1;117;25170;1678;1869;12.99;47.43;8563;570.9;870.1;7.58;80.63;185;1.688;
HE 300 M;340;310;21;39;27;;;;;;303.1;238;59200;3482;4078;13.98;90.53;19400;1252;1913;8;130.6;1408;4.386;
HE 320 AA;301;300;8;11;27;;;;;;94.58;74.2;16450;1093;1196;13.19;35.4;4959;330.6;505.7;7.24;61.63;55.87;1.041;
HE 320 A;310;300;9;15.5;27;;;;;;124.4;97.6;22930;1479;1628;13.58;41.13;6985;465.7;709.7;7.49;71.63;108;1.512;
HE 320 B;320;300;11.5;20.5;27;;;;;;161.3;127;30820;1926;2149;13.82;51.77;9239;615.9;939.1;7.57;84.13;225.1;2.069;
HE 320 M;359;309;21;40;27;;;;;;312;245;68130;3796;4435;14.78;94.85;19710;1276;1951;7.95;132.6;1501;5.004;
HE 340 AA;320;300;8.5;11.5;27;;;;;;100.5;78.9;19550;1222;1341;13.95;38.69;5185;345.6;529.3;7.18;63.13;63.07;1.231;
HE 340 A;330;300;9.5;16.5;27;;;;;;133.5;105;27690;1678;1850;14.4;44.95;7436;495.7;755.9;7.46;74.13;127.2;1.824;
HE 340 B;340;300;12;21.5;27;;;;;;170.9;134;36660;2156;2408;14.65;56.09;9690;646;985.7;7.53;86.63;257.2;2.454;
HE 340 M;377;309;21;40;27;;;;;;315.8;248;76370;4052;4718;15.55;98.63;19710;1276;1953;7.9;132.6;1506;5.584;
HE 360 AA;339;300;9;12;27;;;;;;106.6;83.7;23040;1359;1495;14.7;42.17;5410;360.7;553;7.12;64.63;70.99;1.444;
HE 360 A;350;300;10;17.5;27;;;;;;142.8;112;33090;1891;2088;15.22;48.96;7887;525.8;802.3;7.43;76.63;148.8;2.177;
HE 360 B;360;300;12.5;22.5;27;;;;;;180.6;142;43190;2400;2683;15.46;60.6;10140;676.1;1032;7.49;89.13;292.5;2.883;
HE 360 M;395;308;21;40;27;;;;;;318.8;250;84870;4297;4989;16.32;102.4;19520;1268;1942;7.83;132.6;1507;6.137;
HE 400 AA;378;300;9.5;13;27;;;;;;117.7;92.4;31250;1654;1824;16.3;47.95;5861;390.8;599.7;7.06;67.13;84.69;1.948;
HE 400 A;390;300;11;19;27;;;;;;159;125;45070;2311;2562;16.84;57.33;8564;570.9;872.9;7.34;80.63;189;2.942;
HE 400 B;400;300;13.5;24;27;;;;;;197.8;155;57680;2884;3232;17.08;69.98;10820;721.3;1104;7.4;93.13;355.7;3.817;
HE 400 M;432;307;21;40;27;;;;;;325.8;256;104100;4820;5571;17.88;110.2;19340;1260;1934;7.7;132.6;1515;7.41;
HE 450 AA;425;300;10;13.5;27;;;;;;127.1;99.7;41890;1971;2183;18.16;54.7;6088;405.8;624.4;6.92;68.63;95.61;2.572;
HE 450 A;440;300;11.5;21;27;;;;;;178;140;63720;2896;3216;18.92;65.78;9465;631;965.5;7.29;85.13;243.8;4.148;
HE 450 B;450;300;14;26;27;;;;;;218;171;79890;3551;3982;19.14;79.66;11720;781.4;1198;7.33;97.63;440.5;5.258;
HE 450 M;478;307;21;40;27;;;;;;335.4;263;131500;5501;6331;19.8;119.8;19340;1260;1939;7.59;132.6;1529;9.251;
HE 500 AA;472;300;10.5;14;27;;;;;;136.9;107;54640;2315;2576;19.98;61.91;6314;420.9;649.3;6.79;70.13;107.7;3.304;
HE 500 A;490;300;12;23;27;;;;;;197.5;155;86970;3550;3949;20.98;74.72;10370;691.1;1059;7.24;89.63;309.3;5.643;
HE 500 B;500;300;14.5;28;27;;;;;;238.6;187;107200;4287;4815;21.19;89.82;12620;841.6;1292;7.27;102.1;538.4;7.018;
HE 500 M;524;306;21;40;27;;;;;;344.3;270;161900;6180;7094;21.69;129.5;19150;1252;1932;7.46;132.6;1539;11.19;
